도시명,시군구,학교명,학교 학생 수,최종 동질성 지수(H_m),소비 획일성 지수,소비 1위 업종,소비 2위 업종,소비 3위 업종,사회 문화 획일성 지수,진로 획일성 지수,진로 노출 획일성 지수,학구 순전입률
대구광역시,동구,대구동부초등학교,415,1.008337403,0.4321,,,,0.949774,1,0.3499,2.409638554
대구광역시,달성군,달서고등학교,411,0.8702839419,0.4321,,,,0.955971,0.56581,0.3487,0
대구광역시,남구,대구광명학교,41,1.48950281,0.5969,보건업,"섬유, 의복, 신발 및 가죽제품 소매업",제조업 및 기타,0.941907,0.693446,0.3552,0
대구광역시,북구,대구문성초등학교,409,0.9568138972,0.4321,,,,0.955048,1,0.3493,-1.711491443
대구광역시,달서구,대구와룡초등학교,409,0.9519870502,0.4321,,,,0.947646,1,0.3515,-4.155124654
대구광역시,서구,경운중학교,407,0.8587375316,0.4321,,,,0.910527,0.411856,0.3622,0.9982638889
대구광역시,수성구,대구동원초등학교,406,1.054405791,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.977208,1,0.3313,2.709359606
대구광역시,서구,대구경운초등학교,405,0.9212800892,0.4321,,,,0.89075,1,0.3622,-3.950617284
대구광역시,중구,대구삼덕초등학교,400,0.9546891253,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.955644,1,0.3322,-1.5
대구광역시,중구,대구초등학교,399,0.9880840886,0.2302,무점포 소매업,스포츠 및 오락관련 서비스업,소매업; 자동차 제외,0.955589,1,0.3322,2.255639098
대구광역시,달서구,대구교육대학교대구부설초등학교,398,0.9883723159,0.4321,,,,0.973726,1,0.3515,0
대구광역시,달서구,대구대진초등학교,398,0.9767635247,0.4321,,,,0.956975,1,0.3515,-1.507537688
대구광역시,동구,대구팔공중학교,398,0.8651781385,0.4321,,,,0.9576,0.256782,0.3499,0.0488997555
대구광역시,북구,복현중학교,396,0.8879305828,0.4321,,,,0.95625,0.291761,0.3493,0.5465547531
대구광역시,북구,관천중학교,395,0.8729338626,0.4321,,,,0.956216,0.394888,0.3493,-0.8176918788
대구광역시,수성구,노변중학교,394,0.8893533906,0.4693,기타 개인 서비스업,"미용, 욕탕 및 유사 서비스업",기타 전문 서비스업,0.969519,0.410187,0.3313,-0.21595357
대구광역시,달서구,대구용산초등학교,393,1.077098405,0.4321,,,,0.94828,1,0.3515,6.106870229
대구광역시,달성군,대구용계초등학교,391,1.064635179,0.4321,,,,0.942331,1,0.3487,4.859335038
대구광역시,동구,대구팔공초등학교,391,0.9792283386,0.4321,,,,0.94387,1,0.3499,0
대구광역시,군위군,대구부계초등학교,39,1.38177293,0.4321,,,,0.88137,0.693446,0.329,-2.564102564
대구광역시,달성군,대구화남초등학교,388,1.067985165,0.4321,,,,0.94738,1,0.3487,4.332129964
대구광역시,북구,칠성고등학교,384,0.9047991357,0.4321,,,,0.934996,0.441853,0.3493,0.6116852985
